Model,Metric,Correlation,P_Value
Meta Llama 3.1 70B,Idea Density: Idea Density,-0.07599689672910843,4.7348603590120744e-05
Meta Llama 3.1 70B,Question Complexity: Overall Complexity,0.028055214389597308,0.13361355805782493
Meta Llama 3.1 70B,Question Complexity: Syntactic,0.016379579947625372,0.38122640427077026
Meta Llama 3.1 70B,Question Complexity: Semantic,0.10425721602818785,2.2921669478347056e-08
Meta Llama 3.1 70B,Question Complexity: ToM,-0.023157423191799243,0.2156939178780975
Meta Llama 3.1 70B,Question Complexity: Reasoning,0.03647216611703644,0.05114156539931943
Meta Llama 3.1 70B,RST Analysis: EDUs,-0.038511582416658606,0.03945370599057296
Meta Llama 3.1 70B,RST Analysis: Tree Depth,-0.05066432200888684,0.006727679228720754
Meta Llama 3.1 70B,RST Analysis: Attribution,-0.06430134463426014,0.0005799384575831208
Meta Llama 3.1 70B,RST Analysis: Causal,0.044669502783268575,0.016893057333353945
Meta Llama 3.1 70B,RST Analysis: Explanation,0.006044770663676775,0.7465969950772341
Qwen 2.5 32B,Idea Density: Idea Density,-0.07296665512689146,9.395985282696146e-05
Qwen 2.5 32B,Question Complexity: Overall Complexity,0.0679139530791962,0.00027843697005963046
Qwen 2.5 32B,Question Complexity: Syntactic,0.06814953916850965,0.0002650987087157797
Qwen 2.5 32B,Question Complexity: Semantic,0.10488136364480721,1.8875257181161376e-08
Qwen 2.5 32B,Question Complexity: ToM,0.035463863111920416,0.057915339083498336
Qwen 2.5 32B,Question Complexity: Reasoning,-0.016549896777166256,0.37629413780179466
Qwen 2.5 32B,RST Analysis: EDUs,-0.04582391196159514,0.014252660214847558
Qwen 2.5 32B,RST Analysis: Tree Depth,-0.07169096185190324,0.0001244346743254421
Qwen 2.5 32B,RST Analysis: Attribution,-0.04068066829490469,0.029591946814077594
Qwen 2.5 32B,RST Analysis: Causal,-0.01686286908169499,0.3673338543309372
Qwen 2.5 32B,RST Analysis: Explanation,0.018662386023689536,0.31842692567827285
OLMo 13B,Idea Density: Idea Density,0.0159131462873811,0.394935758859129
OLMo 13B,Question Complexity: Overall Complexity,-0.12212648113845882,5.6436065208464977e-11
OLMo 13B,Question Complexity: Syntactic,-0.1136015236489396,1.1125295142089772e-09
OLMo 13B,Question Complexity: Semantic,-0.1309152501021631,2.088862988680831e-12
OLMo 13B,Question Complexity: ToM,-0.06557734730409778,0.0004493665577901544
OLMo 13B,Question Complexity: Reasoning,-0.06441050950776583,0.0005675182296281165
OLMo 13B,RST Analysis: EDUs,0.05415362092754138,0.0037682240320324623
OLMo 13B,RST Analysis: Tree Depth,0.021328964944805084,0.25416879269614207
OLMo 13B,RST Analysis: Attribution,0.0370372906664819,0.04764403953742339
OLMo 13B,RST Analysis: Causal,0.01777258005747933,0.3420519020610066
OLMo 13B,RST Analysis: Explanation,0.046134298723453565,0.01360792623600194
Mistral 7B,Idea Density: Idea Density,0.03477109022417938,0.06298869054290164
Mistral 7B,Question Complexity: Overall Complexity,-0.16636424501893338,3.379714642440547e-19
Mistral 7B,Question Complexity: Syntactic,-0.16452059204256575,8.372413490658054e-19
Mistral 7B,Question Complexity: Semantic,-0.048573048957153954,0.0093759079717684
Mistral 7B,Question Complexity: ToM,-0.11854123269522056,2.029075393796702e-10
Mistral 7B,Question Complexity: Reasoning,-0.12955448401437092,3.532152435415307e-12
Mistral 7B,RST Analysis: EDUs,0.0434860414572123,0.020036049952647874
Mistral 7B,RST Analysis: Tree Depth,0.030514244385127457,0.1027770964947808
Mistral 7B,RST Analysis: Attribution,0.05566834214832545,0.0029004753492317932
Mistral 7B,RST Analysis: Causal,0.0327959157087503,0.07949963730949892
Mistral 7B,RST Analysis: Explanation,0.038647758917608355,0.03876141023471973
Phi 3 Mini,Idea Density: Idea Density,-0.009041846945544904,0.6288492756636082
Phi 3 Mini,Question Complexity: Overall Complexity,-0.07154540794125286,0.00012845091272851994
Phi 3 Mini,Question Complexity: Syntactic,-0.0739360679910727,7.567059313114903e-05
Phi 3 Mini,Question Complexity: Semantic,-0.002127268763036101,0.9094640905527349
Phi 3 Mini,Question Complexity: ToM,-0.07824943607324014,2.798234971578881e-05
Phi 3 Mini,Question Complexity: Reasoning,-0.025778737824172657,0.1681271477382071
Phi 3 Mini,RST Analysis: EDUs,-0.014584697071267305,0.4355821714591465
Phi 3 Mini,RST Analysis: Tree Depth,-0.02702748069344044,0.1484483723430537
Phi 3 Mini,RST Analysis: Attribution,0.01089545672580903,0.5602701105496761
Phi 3 Mini,RST Analysis: Causal,0.015587123478128656,0.404692758754211
Phi 3 Mini,RST Analysis: Explanation,0.006347630894303214,0.7343688514601562
InternLM 1.8B,Idea Density: Idea Density,0.04281700714474537,0.022029523825258253
InternLM 1.8B,Question Complexity: Overall Complexity,-0.19111038112485962,6.278360948030244e-25
InternLM 1.8B,Question Complexity: Syntactic,-0.18504210271625365,1.9061278608147977e-23
InternLM 1.8B,Question Complexity: Semantic,-0.09543631720808499,3.166140166423786e-07
InternLM 1.8B,Question Complexity: ToM,-0.1510305042570132,4.66019100355256e-16
InternLM 1.8B,Question Complexity: Reasoning,-0.11180166800164028,2.0320029078750594e-09
InternLM 1.8B,RST Analysis: EDUs,0.04325144688332764,0.02071637280808986
InternLM 1.8B,RST Analysis: Tree Depth,0.05077034709796234,0.006613377500516392
InternLM 1.8B,RST Analysis: Attribution,0.07953738243161712,2.0583516451840433e-05
InternLM 1.8B,RST Analysis: Causal,0.028783606860993332,0.12381320385034983
InternLM 1.8B,RST Analysis: Explanation,0.06010181477367633,0.001301335721395731
